id,block,condition,list
98,1,leg,1
98,2,control,3
98,3,arm,2
99,1,control,2
99,2,leg,1
99,3,arm,3
100,1,control,2
100,2,arm,1
100,3,leg,3
101,1,arm,3
101,2,leg,2
101,3,control,1
102,1,arm,2
102,2,control,1
102,3,leg,3
103,1,control,3
103,2,leg,2
103,3,arm,1
104,1,leg,3
104,2,arm,2
104,3,control,1
105,1,leg,3
105,2,control,2
105,3,arm,1
106,1,arm,2
106,2,leg,1
106,3,control,3
107,1,control,1
107,2,arm,3
107,3,leg,2
108,1,arm,3
108,2,control,2
108,3,leg,1
109,1,arm,1
109,2,control,2
109,3,leg,3
110,1,control,1
110,2,arm,2
110,3,leg,3
111,1,leg,2
111,2,arm,3
111,3,control,1
112,1,control,3
112,2,leg,1
112,3,arm,2
113,1,leg,1
113,2,control,2
113,3,arm,3
114,1,arm,1
114,2,leg,2
114,3,control,3
115,1,arm,3
115,2,control,1
115,3,leg,2
116,1,leg,2
116,2,control,3
116,3,arm,1
117,1,control,2
117,2,arm,3
117,3,leg,1
118,1,arm,2
118,2,leg,3
118,3,control,1
119,1,control,2
119,2,leg,3
119,3,arm,1
120,1,leg,1
120,2,arm,2
120,3,control,3
121,1,leg,3
121,2,control,1
121,3,arm,2
122,1,leg,3
122,2,arm,1
122,3,control,2
123,1,arm,2
123,2,control,3
123,3,leg,1
124,1,control,1
124,2,leg,2
124,3,arm,3
125,1,arm,3
125,2,leg,1
125,3,control,2
126,1,control,3
126,2,arm,1
126,3,leg,2
127,1,leg,2
127,2,control,1
127,3,arm,3
128,1,arm,1
128,2,control,3
128,3,leg,2
129,1,control,1
129,2,leg,3
129,3,arm,2
130,1,control,3
130,2,arm,2
130,3,leg,1
131,1,leg,1
131,2,arm,3
131,3,control,2
132,1,arm,1
132,2,leg,3
132,3,control,2
133,1,leg,1
133,2,control,3
133,3,arm,2
134,1,leg,2
134,2,arm,1
134,3,control,3
135,1,arm,2
135,2,control,1
135,3,leg,3
136,1,arm,3
136,2,leg,2
136,3,control,1
137,1,control,2
137,2,arm,1
137,3,leg,3
138,1,control,2
138,2,leg,1
138,3,arm,3
139,1,control,3
139,2,leg,2
139,3,arm,1
140,1,leg,3
140,2,arm,2
140,3,control,1
141,1,arm,3
141,2,control,2
141,3,leg,1
142,1,leg,3
142,2,control,2
142,3,arm,1
143,1,arm,2
143,2,leg,1
143,3,control,3
144,1,control,1
144,2,arm,3
144,3,leg,2
145,1,leg,1
145,2,control,2
145,3,arm,3
146,1,control,1
146,2,arm,2
146,3,leg,3
147,1,control,3
147,2,leg,1
147,3,arm,2
148,1,arm,1
148,2,leg,2
148,3,control,3
149,1,arm,1
149,2,control,2
149,3,leg,3
150,1,leg,2
150,2,arm,3
150,3,control,1
151,1,control,2
151,2,arm,3
151,3,leg,1
152,1,control,2
152,2,leg,3
152,3,arm,1
153,1,leg,2
153,2,control,3
153,3,arm,1
154,1,arm,3
154,2,control,1
154,3,leg,2
155,1,arm,2
155,2,leg,3
155,3,control,1
156,1,leg,1
156,2,arm,2
156,3,control,3
157,1,arm,2
157,2,control,3
157,3,leg,1
158,1,control,3
158,2,arm,1
158,3,leg,2
159,1,leg,3
159,2,arm,1
159,3,control,2
160,1,leg,3
160,2,control,1
160,3,arm,2
161,1,control,1
161,2,leg,2
161,3,arm,3
162,1,arm,3
162,2,leg,1
162,3,control,2
163,1,control,1
163,2,leg,3
163,3,arm,2
164,1,control,3
164,2,arm,2
164,3,leg,1
165,1,arm,1
165,2,control,3
165,3,leg,2
166,1,leg,1
166,2,arm,3
166,3,control,2
167,1,leg,2
167,2,control,1
167,3,arm,3
168,1,arm,1
168,2,leg,3
168,3,control,2
169,1,arm,3
169,2,leg,2
169,3,control,1
170,1,arm,2
170,2,control,1
170,3,leg,3
171,1,leg,1
171,2,control,3
171,3,arm,2
172,1,control,2
172,2,leg,1
172,3,arm,3
173,1,control,2
173,2,arm,1
173,3,leg,3
174,1,leg,2
174,2,arm,1
174,3,control,3
175,1,control,3
175,2,leg,2
175,3,arm,1
176,1,arm,3
176,2,control,2
176,3,leg,1
177,1,leg,3
177,2,control,2
177,3,arm,1
178,1,leg,3
178,2,arm,2
178,3,control,1
179,1,arm,2
179,2,leg,1
179,3,control,3
180,1,control,1
180,2,arm,3
180,3,leg,2
181,1,control,3
181,2,leg,1
181,3,arm,2
182,1,arm,1
182,2,leg,2
182,3,control,3
183,1,leg,1
183,2,control,2
183,3,arm,3
184,1,control,1
184,2,arm,2
184,3,leg,3
185,1,arm,1
185,2,control,2
185,3,leg,3
186,1,leg,2
186,2,arm,3
186,3,control,1
187,1,leg,2
187,2,control,3
187,3,arm,1
188,1,arm,3
188,2,control,1
188,3,leg,2
189,1,control,2
189,2,leg,3
189,3,arm,1
190,1,arm,2
190,2,leg,3
190,3,control,1
191,1,leg,1
191,2,arm,2
191,3,control,3
192,1,control,2
192,2,arm,3
192,3,leg,1
193,1,leg,3
193,2,control,1
193,3,arm,2
194,1,leg,3
194,2,arm,1
194,3,control,2
195,1,control,1
195,2,leg,2
195,3,arm,3
196,1,arm,2
196,2,control,3
196,3,leg,1
197,1,arm,3
197,2,leg,1
197,3,control,2
198,1,control,3
198,2,arm,1
198,3,leg,2
199,1,arm,1
199,2,control,3
199,3,leg,2
200,1,control,1
200,2,leg,3
200,3,arm,2
201,1,leg,2
201,2,control,1
201,3,arm,3
202,1,leg,1
202,2,arm,3
202,3,control,2
203,1,arm,1
203,2,leg,3
203,3,control,2
204,1,control,3
204,2,arm,2
204,3,leg,1
205,1,control,2
205,2,arm,1
205,3,leg,3
206,1,leg,2
206,2,arm,1
206,3,control,3
207,1,arm,2
207,2,control,1
207,3,leg,3
208,1,arm,3
208,2,leg,2
208,3,control,1
209,1,control,2
209,2,leg,1
209,3,arm,3
210,1,leg,1
210,2,control,3
210,3,arm,2
211,1,arm,2
211,2,leg,1
211,3,control,3
212,1,leg,3
212,2,control,2
212,3,arm,1
213,1,leg,3
213,2,arm,2
213,3,control,1
214,1,control,3
214,2,leg,2
214,3,arm,1
215,1,arm,3
215,2,control,2
215,3,leg,1
216,1,control,1
216,2,arm,3
216,3,leg,2
217,1,control,1
217,2,arm,2
217,3,leg,3
218,1,arm,1
218,2,leg,2
218,3,control,3
219,1,leg,2
219,2,arm,3
219,3,control,1
220,1,leg,1
220,2,control,2
220,3,arm,3
221,1,control,3
221,2,leg,1
221,3,arm,2
222,1,arm,1
222,2,control,2
222,3,leg,3
223,1,arm,2
223,2,leg,3
223,3,control,1
224,1,control,2
224,2,leg,3
224,3,arm,1
225,1,arm,3
225,2,control,1
225,3,leg,2
226,1,leg,2
226,2,control,3
226,3,arm,1
227,1,leg,1
227,2,arm,2
227,3,control,3
228,1,control,2
228,2,arm,3
228,3,leg,1
229,1,leg,3
229,2,control,1
229,3,arm,2
230,1,control,3
230,2,arm,1
230,3,leg,2
231,1,control,1
231,2,leg,2
231,3,arm,3
232,1,leg,3
232,2,arm,1
232,3,control,2
233,1,arm,3
233,2,leg,1
233,3,control,2
234,1,arm,2
234,2,control,3
234,3,leg,1
235,1,arm,1
235,2,control,3
235,3,leg,2
236,1,arm,1
236,2,leg,3
236,3,control,2
237,1,control,1
237,2,leg,3
237,3,arm,2
238,1,control,3
238,2,arm,2
238,3,leg,1
239,1,leg,1
239,2,arm,3
239,3,control,2
240,1,leg,2
240,2,control,1
240,3,arm,3
241,1,leg,2
241,2,arm,1
241,3,control,3
242,1,arm,3
242,2,leg,2
242,3,control,1
243,1,control,2
243,2,leg,1
243,3,arm,3
244,1,control,2
244,2,arm,1
244,3,leg,3
245,1,arm,2
245,2,control,1
245,3,leg,3
246,1,leg,1
246,2,control,3
246,3,arm,2
247,1,arm,3
247,2,control,2
247,3,leg,1
248,1,control,1
248,2,arm,3
248,3,leg,2
249,1,arm,2
249,2,leg,1
249,3,control,3
250,1,control,3
250,2,leg,2
250,3,arm,1
251,1,leg,3
251,2,control,2
251,3,arm,1
252,1,leg,3
252,2,arm,2
252,3,control,1
253,1,control,1
253,2,arm,2
253,3,leg,3
254,1,leg,1
254,2,control,2
254,3,arm,3
255,1,leg,2
255,2,arm,3
255,3,control,1
256,1,arm,1
256,2,leg,2
256,3,control,3
257,1,control,3
257,2,leg,1
257,3,arm,2
258,1,arm,1
258,2,control,2
258,3,leg,3
259,1,control,2
259,2,leg,3
259,3,arm,1
260,1,leg,1
260,2,arm,2
260,3,control,3
261,1,leg,2
261,2,control,3
261,3,arm,1
262,1,arm,3
262,2,control,1
262,3,leg,2
263,1,control,2
263,2,arm,3
263,3,leg,1
264,1,arm,2
264,2,leg,3
264,3,control,1
265,1,control,3
265,2,arm,1
265,3,leg,2
266,1,control,1
266,2,leg,2
266,3,arm,3
267,1,arm,2
267,2,control,3
267,3,leg,1
268,1,leg,3
268,2,arm,1
268,3,control,2
269,1,arm,3
269,2,leg,1
269,3,control,2
270,1,leg,3
270,2,control,1
270,3,arm,2
271,1,leg,2
271,2,control,1
271,3,arm,3
272,1,leg,1
272,2,arm,3
272,3,control,2
273,1,arm,1
273,2,leg,3
273,3,control,2
274,1,control,1
274,2,leg,3
274,3,arm,2
275,1,control,3
275,2,arm,2
275,3,leg,1
276,1,arm,1
276,2,control,3
276,3,leg,2
277,1,arm,3
277,2,leg,2
277,3,control,1
278,1,leg,2
278,2,arm,1
278,3,control,3
279,1,arm,2
279,2,control,1
279,3,leg,3
280,1,leg,1
280,2,control,3
280,3,arm,2
281,1,control,2
281,2,leg,1
281,3,arm,3
282,1,control,2
282,2,arm,1
282,3,leg,3
283,1,arm,3
283,2,control,2
283,3,leg,1
284,1,control,1
284,2,arm,3
284,3,leg,2
285,1,leg,3
285,2,control,2
285,3,arm,1
286,1,arm,2
286,2,leg,1
286,3,control,3
287,1,leg,3
287,2,arm,2
287,3,control,1
288,1,control,3
288,2,leg,2
288,3,arm,1
289,1,control,3
289,2,leg,1
289,3,arm,2
290,1,leg,2
290,2,arm,3
290,3,control,1
291,1,arm,1
291,2,leg,2
291,3,control,3
292,1,leg,1
292,2,control,2
292,3,arm,3
293,1,arm,1
293,2,control,2
293,3,leg,3
294,1,control,1
294,2,arm,2
294,3,leg,3
295,1,arm,3
295,2,control,1
295,3,leg,2
296,1,arm,2
296,2,leg,3
296,3,control,1
297,1,control,2
297,2,leg,3
297,3,arm,1
298,1,leg,2
298,2,control,3
298,3,arm,1
299,1,leg,1
299,2,arm,2
299,3,control,3
300,1,control,2
300,2,arm,3
300,3,leg,1
301,1,control,3
301,2,arm,1
301,3,leg,2
302,1,arm,3
302,2,leg,1
302,3,control,2
303,1,leg,3
303,2,control,1
303,3,arm,2
304,1,leg,3
304,2,arm,1
304,3,control,2
305,1,control,1
305,2,leg,2
305,3,arm,3
306,1,arm,2
306,2,control,3
306,3,leg,1
307,1,arm,1
307,2,control,3
307,3,leg,2
308,1,control,3
308,2,arm,2
308,3,leg,1
309,1,control,1
309,2,leg,3
309,3,arm,2
310,1,leg,1
310,2,arm,3
310,3,control,2
311,1,leg,2
311,2,control,1
311,3,arm,3
312,1,arm,1
312,2,leg,3
312,3,control,2
313,1,arm,3
313,2,leg,2
313,3,control,1
314,1,leg,1
314,2,control,3
314,3,arm,2
315,1,control,2
315,2,leg,1
315,3,arm,3
316,1,control,2
316,2,arm,1
316,3,leg,3
317,1,leg,2
317,2,arm,1
317,3,control,3
318,1,arm,2
318,2,control,1
318,3,leg,3
319,1,leg,3
319,2,arm,2
319,3,control,1
320,1,arm,2
320,2,leg,1
320,3,control,3
321,1,leg,3
321,2,control,2
321,3,arm,1
322,1,control,3
322,2,leg,2
322,3,arm,1
323,1,control,1
323,2,arm,3
323,3,leg,2
324,1,arm,3
324,2,control,2
324,3,leg,1
964,1,control,1
964,2,arm,2
964,3,leg,3
965,1,leg,1
965,2,control,2
965,3,arm,3
966,1,arm,1
966,2,leg,2
966,3,control,3
967,1,arm,1
967,2,control,2
967,3,leg,3
968,1,control,3
968,2,leg,1
968,3,arm,2
969,1,leg,2
969,2,arm,3
969,3,control,1
970,1,arm,3
970,2,control,1
970,3,leg,2
971,1,control,2
971,2,leg,3
971,3,arm,1
972,1,leg,2
972,2,control,3
972,3,arm,1
973,1,leg,1
973,2,arm,2
973,3,control,3
974,1,arm,2
974,2,leg,3
974,3,control,1
975,1,control,2
975,2,arm,3
975,3,leg,1
976,1,control,1
976,2,leg,2
976,3,arm,3
977,1,leg,3
977,2,control,1
977,3,arm,2
978,1,arm,3
978,2,leg,1
978,3,control,2
979,1,control,3
979,2,arm,1
979,3,leg,2
980,1,arm,2
980,2,control,3
980,3,leg,1
981,1,leg,3
981,2,arm,1
981,3,control,2
982,1,leg,2
982,2,control,1
982,3,arm,3
983,1,arm,1
983,2,control,3
983,3,leg,2
984,1,control,1
984,2,leg,3
984,3,arm,2
985,1,control,3
985,2,arm,2
985,3,leg,1
986,1,leg,1
986,2,arm,3
986,3,control,2
987,1,arm,1
987,2,leg,3
987,3,control,2
988,1,control,2
988,2,leg,1
988,3,arm,3
989,1,control,2
989,2,arm,1
989,3,leg,3
990,1,arm,2
990,2,control,1
990,3,leg,3
991,1,leg,2
991,2,arm,1
991,3,control,3
992,1,leg,1
992,2,control,3
992,3,arm,2
993,1,arm,3
993,2,leg,2
993,3,control,1
994,1,control,1
994,2,arm,3
994,3,leg,2
995,1,arm,3
995,2,control,2
995,3,leg,1
996,1,leg,3
996,2,arm,2
996,3,control,1
997,1,control,3
997,2,leg,2
997,3,arm,1
998,1,arm,2
998,2,leg,1
998,3,control,3
999,1,leg,3
999,2,control,2
999,3,arm,1
