word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,armleg_loop.thisRepN,armleg_loop.thisTrialN,armleg_loop.thisN,armleg_loop.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,rating.response,rating.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
SPRINT,spurta,springa,löpa,2,springa,spurta,löpa,Arm,arm,0,34,34,79,0,1,1,1,,,,,,,,,,,1,2.157,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SPRINT,spurta,springa,löpa,2,springa,spurta,löpa,,,0,34,34,79,,,,,,,,,,,,,,,,,return,2.21466425546,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CUT,skära,sticka,spetsa,1,skära,spetsa,sticka,Leg,leg,0,35,35,16,0,0,0,0,,,,,,,,,,,1,16.692,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CUT,skära,sticka,spetsa,1,skära,spetsa,sticka,Arm,arm,0,35,35,16,0,1,1,1,,,,,,,,,,,7,2.947,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CUT,skära,sticka,spetsa,1,skära,spetsa,sticka,,,0,35,35,16,,,,,,,,,,,,,,,,,return,3.92521524467,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CARVE,tälja,hacka,riva,1,tälja,hacka,riva,Leg,leg,0,36,36,5,0,0,0,0,,,,,,,,,,,1,17.306,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CARVE,tälja,hacka,riva,1,tälja,hacka,riva,Arm,arm,0,36,36,5,0,1,1,1,,,,,,,,,,,7,1.285,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
CARVE,tälja,hacka,riva,1,tälja,hacka,riva,,,0,36,36,5,,,,,,,,,,,,,,,,,return,11.6058795151,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SHAKE,skaka,röra,vispa,1,skaka,röra,vispa,Leg,leg,0,37,37,69,0,0,0,0,,,,,,,,,,,2,3.758,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SHAKE,skaka,röra,vispa,1,skaka,röra,vispa,Arm,arm,0,37,37,69,0,1,1,1,,,,,,,,,,,7,1.067,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SHAKE,skaka,röra,vispa,1,skaka,röra,vispa,,,0,37,37,69,,,,,,,,,,,,,,,,,return,3.53942797132,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STRAY,ströva,vandra,promenera,1,ströva,promenera,vandra,Leg,leg,0,38,38,87,0,0,0,0,,,,,,,,,,,7,15.968,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STRAY,ströva,vandra,promenera,1,ströva,promenera,vandra,Arm,arm,0,38,38,87,0,1,1,1,,,,,,,,,,,1,6.501,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STRAY,ströva,vandra,promenera,1,ströva,promenera,vandra,,,0,38,38,87,,,,,,,,,,,,,,,,,return,19.0023418019,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SCRAPE,skrapa,rispa,klösa,3,rispa,klösa,skrapa,Leg,leg,0,39,39,64,0,0,0,0,,,,,,,,,,,1,8.064,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SCRAPE,skrapa,rispa,klösa,3,rispa,klösa,skrapa,Arm,arm,0,39,39,64,0,1,1,1,,,,,,,,,,,7,1.068,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
SCRAPE,skrapa,rispa,klösa,3,rispa,klösa,skrapa,,,0,39,39,64,,,,,,,,,,,,,,,,,return,7.16183838761,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
STIR,röra,sleva,vispa,2,sleva,röra,vispa,Leg,leg,0,40,40,85,0,0,0,0,,,,,,,,,,,1,8.827,,,,,2018_Jun_13_1344,59.1770947316,verb_norming_oral_input,001,905,
