SubjID,Word,Rating,Task
7,snubbla,7,imageability
8,snubbla,4,imageability
9,snubbla,7,imageability
10,snubbla,7,imageability
11,snubbla,5,imageability
12,snubbla,5,imageability
13,snubbla,7,imageability
14,snubbla,7,imageability
15,snubbla,7,imageability
16,snubbla,6,imageability
17,snubbla,7,imageability
18,snubbla,6,imageability
19,snubbla,5,imageability
20,snubbla,6,imageability
21,snubbla,5,imageability
22,snubbla,7,imageability
23,snubbla,7,imageability
24,snubbla,7,imageability
25,snubbla,7,imageability
1,pinna,7,imageability
2,pinna,1,imageability
3,pinna,1,imageability
4,pinna,4,imageability
5,pinna,3,imageability
6,pinna,2,imageability
7,pinna,6,imageability
8,pinna,5,imageability
9,pinna,4,imageability
10,pinna,1,imageability
11,pinna,2,imageability
12,pinna,4,imageability
13,pinna,5,imageability
14,pinna,2,imageability
15,pinna,5,imageability
16,pinna,4,imageability
17,pinna,5,imageability
18,pinna,6,imageability
19,pinna,2,imageability
20,pinna,5,imageability
21,pinna,2,imageability
22,pinna,4,imageability
23,pinna,1,imageability
24,pinna,7,imageability
25,pinna,7,imageability
1,smaka,6,imageability
2,smaka,3,imageability
3,smaka,7,imageability
4,smaka,6,imageability
5,smaka,7,imageability
6,smaka,6,imageability
7,smaka,7,imageability
8,smaka,1,imageability
9,smaka,7,imageability
10,smaka,4,imageability
11,smaka,6,imageability
12,smaka,7,imageability
13,smaka,7,imageability
14,smaka,4,imageability
15,smaka,6,imageability
16,smaka,7,imageability
17,smaka,7,imageability
18,smaka,3,imageability
19,smaka,4,imageability
20,smaka,7,imageability
21,smaka,2,imageability
22,smaka,6,imageability
23,smaka,5,imageability
24,smaka,7,imageability
25,smaka,6,imageability
1,skynda,7,imageability
2,skynda,5,imageability
3,skynda,7,imageability
4,skynda,6,imageability
5,skynda,7,imageability
6,skynda,4,imageability
7,skynda,7,imageability
8,skynda,4,imageability
9,skynda,7,imageability
10,skynda,6,imageability
11,skynda,2,imageability
12,skynda,6,imageability
13,skynda,6,imageability
14,skynda,4,imageability
15,skynda,5,imageability
16,skynda,6,imageability
17,skynda,7,imageability
18,skynda,6,imageability
19,skynda,6,imageability
20,skynda,5,imageability
21,skynda,2,imageability
22,skynda,7,imageability
23,skynda,5,imageability
24,skynda,7,imageability
25,skynda,7,imageability
1,skära,7,imageability
2,skära,7,imageability
3,skära,7,imageability
4,skära,5,imageability
5,skära,7,imageability
6,skära,6,imageability
7,skära,7,imageability
8,skära,1,imageability
9,skära,7,imageability
10,skära,7,imageability
11,skära,7,imageability
12,skära,5,imageability
13,skära,7,imageability
14,skära,7,imageability
15,skära,7,imageability
16,skära,6,imageability
17,skära,7,imageability
18,skära,5,imageability
19,skära,5,imageability
20,skära,7,imageability
21,skära,3,imageability
22,skära,7,imageability
23,skära,6,imageability
24,skära,7,imageability
25,skära,7,imageability
1,skälla,7,imageability
2,skälla,2,imageability
3,skälla,7,imageability
4,skälla,6,imageability
5,skälla,7,imageability
6,skälla,6,imageability
7,skälla,7,imageability
8,skälla,5,imageability
9,skälla,7,imageability
10,skälla,7,imageability
11,skälla,6,imageability
12,skälla,7,imageability
13,skälla,7,imageability
14,skälla,7,imageability
15,skälla,5,imageability
16,skälla,5,imageability
17,skälla,7,imageability
18,skälla,5,imageability
19,skälla,6,imageability
20,skälla,5,imageability
21,skälla,5,imageability
22,skälla,7,imageability
23,skälla,6,imageability
24,skälla,7,imageability
25,skälla,7,imageability
1,knivhugga,7,imageability
2,knivhugga,2,imageability
3,knivhugga,7,imageability
4,knivhugga,6,imageability
5,knivhugga,7,imageability
6,knivhugga,6,imageability
7,knivhugga,7,imageability
8,knivhugga,1,imageability
9,knivhugga,7,imageability
10,knivhugga,7,imageability
11,knivhugga,6,imageability
12,knivhugga,7,imageability
13,knivhugga,7,imageability
14,knivhugga,7,imageability
15,knivhugga,6,imageability
16,knivhugga,7,imageability
17,knivhugga,7,imageability
18,knivhugga,7,imageability
19,knivhugga,6,imageability
20,knivhugga,5,imageability
21,knivhugga,4,imageability
22,knivhugga,7,imageability
23,knivhugga,7,imageability
24,knivhugga,7,imageability
25,knivhugga,7,imageability
1,stiga,7,imageability
2,stiga,1,imageability
3,stiga,7,imageability
4,stiga,6,imageability
5,stiga,7,imageability
6,stiga,4,imageability
7,stiga,7,imageability
8,stiga,3,imageability
9,stiga,7,imageability
10,stiga,7,imageability
11,stiga,4,imageability
12,stiga,5,imageability
13,stiga,6,imageability
14,stiga,1,imageability
15,stiga,2,imageability
16,stiga,1,imageability
17,stiga,7,imageability
18,stiga,5,imageability
19,stiga,2,imageability
20,stiga,5,imageability
21,stiga,2,imageability
22,stiga,4,imageability
23,stiga,1,imageability
24,stiga,7,imageability
25,stiga,6,imageability
1,daska,3,imageability
2,daska,6,imageability
3,daska,6,imageability
4,daska,5,imageability
5,daska,4,imageability
6,daska,4,imageability
7,daska,5,imageability
8,daska,3,imageability
9,daska,7,imageability
10,daska,7,imageability
11,daska,6,imageability
12,daska,4,imageability
13,daska,6,imageability
14,daska,5,imageability
15,daska,7,imageability
16,daska,5,imageability
17,daska,5,imageability
18,daska,5,imageability
19,daska,4,imageability
20,daska,6,imageability
21,daska,5,imageability
22,daska,4,imageability
23,daska,3,imageability
24,daska,7,imageability
25,daska,6,imageability
1,morra,7,imageability
2,morra,2,imageability
3,morra,6,imageability
4,morra,6,imageability
5,morra,7,imageability
6,morra,6,imageability
7,morra,7,imageability
8,morra,5,imageability
9,morra,7,imageability
10,morra,6,imageability
11,morra,7,imageability
12,morra,7,imageability
13,morra,7,imageability
14,morra,7,imageability
15,morra,5,imageability
16,morra,7,imageability
17,morra,7,imageability
18,morra,5,imageability
19,morra,4,imageability
20,morra,3,imageability
21,morra,6,imageability
22,morra,7,imageability
23,morra,6,imageability
24,morra,7,imageability
25,morra,7,imageability
1,putta,5,imageability
2,putta,6,imageability
3,putta,6,imageability
4,putta,6,imageability
5,putta,6,imageability
6,putta,6,imageability
7,putta,7,imageability
8,putta,3,imageability
9,putta,7,imageability
10,putta,7,imageability
11,putta,7,imageability
12,putta,5,imageability
13,putta,7,imageability
14,putta,7,imageability
15,putta,7,imageability
16,putta,5,imageability
17,putta,7,imageability
18,putta,6,imageability
19,putta,4,imageability
20,putta,5,imageability
21,putta,3,imageability
22,putta,6,imageability
23,putta,6,imageability
24,putta,7,imageability
25,putta,7,imageability
1,slipa,7,imageability
2,slipa,2,imageability
3,slipa,7,imageability
4,slipa,5,imageability
5,slipa,7,imageability
6,slipa,4,imageability
7,slipa,7,imageability
8,slipa,2,imageability
9,slipa,7,imageability
10,slipa,7,imageability
11,slipa,7,imageability
12,slipa,6,imageability
13,slipa,7,imageability
14,slipa,6,imageability
15,slipa,6,imageability
16,slipa,4,imageability
17,slipa,7,imageability
18,slipa,6,imageability
19,slipa,5,imageability
20,slipa,6,imageability
21,slipa,2,imageability
22,slipa,6,imageability
23,slipa,6,imageability
24,slipa,7,imageability
25,slipa,7,imageability
1,springa,7,imageability
2,springa,4,imageability
3,springa,7,imageability
4,springa,6,imageability
5,springa,7,imageability
6,springa,6,imageability
7,springa,7,imageability
8,springa,5,imageability
9,springa,7,imageability
10,springa,7,imageability
11,springa,5,imageability
12,springa,7,imageability
13,springa,7,imageability
14,springa,7,imageability
15,springa,5,imageability
16,springa,7,imageability
17,springa,7,imageability
18,springa,5,imageability
19,springa,4,imageability
20,springa,5,imageability
21,springa,3,imageability
22,springa,7,imageability
23,springa,7,imageability
24,springa,7,imageability
25,springa,7,imageability
1,knycka,6,imageability
2,knycka,3,imageability
3,knycka,6,imageability
4,knycka,4,imageability
5,knycka,3,imageability
6,knycka,3,imageability
7,knycka,7,imageability
8,knycka,1,imageability
9,knycka,7,imageability
10,knycka,7,imageability
11,knycka,4,imageability
12,knycka,5,imageability
13,knycka,6,imageability
14,knycka,6,imageability
15,knycka,3,imageability
16,knycka,4,imageability
17,knycka,7,imageability
18,knycka,5,imageability
19,knycka,3,imageability
20,knycka,4,imageability
21,knycka,3,imageability
22,knycka,6,imageability
23,knycka,2,imageability
24,knycka,7,imageability
25,knycka,7,imageability
1,vandra,7,imageability
2,vandra,5,imageability
3,vandra,7,imageability
4,vandra,6,imageability
5,vandra,7,imageability
6,vandra,5,imageability
7,vandra,7,imageability
8,vandra,7,imageability
9,vandra,7,imageability
10,vandra,7,imageability
11,vandra,6,imageability
12,vandra,6,imageability
13,vandra,7,imageability
14,vandra,7,imageability
15,vandra,7,imageability
16,vandra,7,imageability
17,vandra,7,imageability
18,vandra,3,imageability
19,vandra,5,imageability
20,vandra,3,imageability
21,vandra,2,imageability
22,vandra,6,imageability
23,vandra,7,imageability
24,vandra,7,imageability
25,vandra,7,imageability
1,borsta,7,imageability
2,borsta,5,imageability
3,borsta,7,imageability
4,borsta,6,imageability
5,borsta,7,imageability
6,borsta,6,imageability
7,borsta,7,imageability
8,borsta,1,imageability
9,borsta,7,imageability
10,borsta,7,imageability
11,borsta,4,imageability
12,borsta,6,imageability
13,borsta,7,imageability
14,borsta,7,imageability
15,borsta,5,imageability
16,borsta,6,imageability
17,borsta,7,imageability
18,borsta,6,imageability
19,borsta,5,imageability
20,borsta,5,imageability
21,borsta,2,imageability
22,borsta,7,imageability
23,borsta,6,imageability
24,borsta,7,imageability
25,borsta,7,imageability
1,vada,7,imageability
2,vada,5,imageability
3,vada,7,imageability
4,vada,4,imageability
5,vada,7,imageability
6,vada,5,imageability
7,vada,7,imageability
8,vada,2,imageability
9,vada,7,imageability
10,vada,7,imageability
11,vada,3,imageability
12,vada,4,imageability
13,vada,7,imageability
14,vada,7,imageability
15,vada,7,imageability
16,vada,4,imageability
17,vada,7,imageability
18,vada,3,imageability
19,vada,5,imageability
20,vada,6,imageability
21,vada,3,imageability
22,vada,7,imageability
23,vada,6,imageability
24,vada,7,imageability
25,vada,7,imageability
1,skrubba,7,imageability
2,skrubba,4,imageability
3,skrubba,7,imageability
4,skrubba,6,imageability
5,skrubba,7,imageability
6,skrubba,6,imageability
7,skrubba,7,imageability
8,skrubba,3,imageability
9,skrubba,7,imageability
10,skrubba,7,imageability
11,skrubba,7,imageability
12,skrubba,5,imageability
13,skrubba,7,imageability
14,skrubba,6,imageability
15,skrubba,7,imageability
16,skrubba,5,imageability
17,skrubba,6,imageability
18,skrubba,5,imageability
19,skrubba,5,imageability
20,skrubba,5,imageability
21,skrubba,4,imageability
22,skrubba,7,imageability
23,skrubba,6,imageability
24,skrubba,7,imageability
25,skrubba,7,imageability
1,dunka,6,imageability
2,dunka,5,imageability
3,dunka,7,imageability
4,dunka,6,imageability
5,dunka,5,imageability
6,dunka,2,imageability
7,dunka,5,imageability
8,dunka,2,imageability
9,dunka,7,imageability
10,dunka,7,imageability
11,dunka,5,imageability
12,dunka,6,imageability
13,dunka,7,imageability
14,dunka,7,imageability
15,dunka,4,imageability
16,dunka,2,imageability
17,dunka,6,imageability
18,dunka,7,imageability
19,dunka,6,imageability
20,dunka,7,imageability
21,dunka,4,imageability
22,dunka,6,imageability
23,dunka,5,imageability
24,dunka,7,imageability
25,dunka,7,imageability
1,trampa,7,imageability
2,trampa,3,imageability
3,trampa,7,imageability
4,trampa,6,imageability
5,trampa,7,imageability
6,trampa,4,imageability
7,trampa,7,imageability
8,trampa,1,imageability
9,trampa,7,imageability
10,trampa,7,imageability
11,trampa,6,imageability
12,trampa,6,imageability
13,trampa,7,imageability
14,trampa,7,imageability
15,trampa,6,imageability
16,trampa,6,imageability
17,trampa,7,imageability
18,trampa,5,imageability
19,trampa,5,imageability
20,trampa,5,imageability
21,trampa,3,imageability
22,trampa,4,imageability
23,trampa,6,imageability
24,trampa,7,imageability
25,trampa,7,imageability
1,bulta,7,imageability
2,bulta,7,imageability
3,bulta,3,imageability
4,bulta,6,imageability
5,bulta,5,imageability
6,bulta,5,imageability
7,bulta,2,imageability
8,bulta,4,imageability
9,bulta,7,imageability
10,bulta,7,imageability
11,bulta,4,imageability
12,bulta,6,imageability
13,bulta,6,imageability
14,bulta,5,imageability
15,bulta,6,imageability
16,bulta,6,imageability
17,bulta,7,imageability
18,bulta,4,imageability
19,bulta,5,imageability
20,bulta,6,imageability
21,bulta,4,imageability
22,bulta,5,imageability
23,bulta,6,imageability
24,bulta,7,imageability
25,bulta,7,imageability
1,vira,6,imageability
2,vira,5,imageability
3,vira,5,imageability
4,vira,6,imageability
5,vira,5,imageability
6,vira,5,imageability
7,vira,7,imageability
8,vira,2,imageability
9,vira,7,imageability
10,vira,6,imageability
11,vira,3,imageability
12,vira,5,imageability
13,vira,7,imageability
14,vira,3,imageability
15,vira,3,imageability
16,vira,3,imageability
17,vira,5,imageability
18,vira,3,imageability
19,vira,4,imageability
20,vira,5,imageability
21,vira,2,imageability
22,vira,6,imageability
23,vira,5,imageability
24,vira,7,imageability
25,vira,6,imageability
1,svabba,7,imageability
2,svabba,5,imageability
3,svabba,5,imageability
4,svabba,5,imageability
5,svabba,2,imageability
6,svabba,5,imageability
7,svabba,7,imageability
8,svabba,3,imageability
9,svabba,7,imageability
10,svabba,7,imageability
11,svabba,4,imageability
12,svabba,6,imageability
13,svabba,6,imageability
14,svabba,7,imageability
15,svabba,6,imageability
16,svabba,5,imageability
17,svabba,7,imageability
18,svabba,3,imageability
19,svabba,5,imageability
20,svabba,5,imageability
21,svabba,5,imageability
22,svabba,7,imageability
23,svabba,6,imageability
24,svabba,7,imageability
25,svabba,7,imageability
1,piska,5,imageability
2,piska,7,imageability
3,piska,7,imageability
4,piska,5,imageability
5,piska,7,imageability
6,piska,4,imageability
7,piska,7,imageability
8,piska,7,imageability
9,piska,7,imageability
10,piska,7,imageability
11,piska,6,imageability
12,piska,6,imageability
13,piska,7,imageability
14,piska,7,imageability
15,piska,7,imageability
16,piska,5,imageability
17,piska,7,imageability
18,piska,4,imageability
19,piska,4,imageability
20,piska,4,imageability
21,piska,4,imageability
22,piska,6,imageability
23,piska,6,imageability
24,piska,7,imageability
25,piska,7,imageability
1,hacka,7,imageability
2,hacka,2,imageability
3,hacka,7,imageability
4,hacka,6,imageability
5,hacka,6,imageability
6,hacka,5,imageability
7,hacka,7,imageability
8,hacka,3,imageability
9,hacka,7,imageability
10,hacka,7,imageability
11,hacka,5,imageability
12,hacka,4,imageability
13,hacka,7,imageability
14,hacka,6,imageability
15,hacka,7,imageability
16,hacka,7,imageability
17,hacka,7,imageability
18,hacka,5,imageability
19,hacka,5,imageability
20,hacka,6,imageability
21,hacka,2,imageability
22,hacka,7,imageability
23,hacka,7,imageability
24,hacka,7,imageability
25,hacka,7,imageability
1,skutta,7,imageability
2,skutta,5,imageability
3,skutta,5,imageability
4,skutta,5,imageability
5,skutta,6,imageability
6,skutta,5,imageability
7,skutta,7,imageability
8,skutta,1,imageability
9,skutta,7,imageability
10,skutta,7,imageability
11,skutta,4,imageability
12,skutta,5,imageability
13,skutta,6,imageability
14,skutta,7,imageability
15,skutta,5,imageability
16,skutta,6,imageability
17,skutta,7,imageability
18,skutta,6,imageability
19,skutta,4,imageability
20,skutta,7,imageability
21,skutta,5,imageability
22,skutta,7,imageability
23,skutta,6,imageability
24,skutta,7,imageability
25,skutta,7,imageability
1,lunka,7,imageability
2,lunka,2,imageability
3,lunka,3,imageability
4,lunka,6,imageability
5,lunka,5,imageability
6,lunka,3,imageability
7,lunka,7,imageability
8,lunka,3,imageability
9,lunka,7,imageability
10,lunka,5,imageability
11,lunka,2,imageability
12,lunka,5,imageability
13,lunka,6,imageability
14,lunka,2,imageability
15,lunka,4,imageability
16,lunka,5,imageability
17,lunka,7,imageability
18,lunka,4,imageability
19,lunka,3,imageability
20,lunka,2,imageability
21,lunka,4,imageability
22,lunka,5,imageability
23,lunka,4,imageability
24,lunka,7,imageability
25,lunka,7,imageability
1,banka,7,imageability
2,banka,6,imageability
3,banka,7,imageability
4,banka,6,imageability
5,banka,7,imageability
6,banka,6,imageability
7,banka,7,imageability
8,banka,3,imageability
9,banka,7,imageability
10,banka,7,imageability
11,banka,2,imageability
12,banka,5,imageability
13,banka,7,imageability
14,banka,5,imageability
15,banka,6,imageability
16,banka,6,imageability
17,banka,7,imageability
18,banka,6,imageability
19,banka,6,imageability
20,banka,7,imageability
21,banka,5,imageability
22,banka,6,imageability
23,banka,5,imageability
24,banka,7,imageability
25,banka,7,imageability
1,gråta,5,imageability
2,gråta,5,imageability
3,gråta,7,imageability
4,gråta,6,imageability
5,gråta,7,imageability
6,gråta,5,imageability
7,gråta,7,imageability
8,gråta,7,imageability
9,gråta,7,imageability
10,gråta,7,imageability
11,gråta,2,imageability
12,gråta,7,imageability
13,gråta,7,imageability
14,gråta,7,imageability
15,gråta,7,imageability
16,gråta,7,imageability
17,gråta,7,imageability
18,gråta,6,imageability
19,gråta,5,imageability
20,gråta,6,imageability
21,gråta,6,imageability
22,gråta,7,imageability
23,gråta,7,imageability
24,gråta,7,imageability
25,gråta,7,imageability
1,krama,7,imageability
2,krama,7,imageability
3,krama,7,imageability
4,krama,6,imageability
5,krama,7,imageability
6,krama,6,imageability
7,krama,7,imageability
8,krama,7,imageability
9,krama,7,imageability
10,krama,7,imageability
11,krama,6,imageability
12,krama,7,imageability
13,krama,7,imageability
14,krama,7,imageability
15,krama,6,imageability
16,krama,7,imageability
17,krama,7,imageability
18,krama,3,imageability
19,krama,7,imageability
20,krama,6,imageability
21,krama,5,imageability
22,krama,7,imageability
23,krama,7,imageability
24,krama,7,imageability
25,krama,7,imageability
1,skina,7,imageability
2,skina,2,imageability
3,skina,4,imageability
4,skina,4,imageability
5,skina,7,imageability
6,skina,6,imageability
7,skina,5,imageability
8,skina,1,imageability
9,skina,7,imageability
10,skina,6,imageability
11,skina,2,imageability
12,skina,5,imageability
13,skina,6,imageability
14,skina,4,imageability
15,skina,6,imageability
16,skina,4,imageability
17,skina,7,imageability
18,skina,5,imageability
19,skina,5,imageability
20,skina,6,imageability
21,skina,4,imageability
22,skina,6,imageability
23,skina,3,imageability
24,skina,7,imageability
25,skina,7,imageability
1,snärta,4,imageability
2,snärta,5,imageability
3,snärta,7,imageability
4,snärta,4,imageability
5,snärta,7,imageability
6,snärta,3,imageability
7,snärta,5,imageability
8,snärta,2,imageability
9,snärta,7,imageability
10,snärta,7,imageability
11,snärta,4,imageability
12,snärta,4,imageability
13,snärta,7,imageability
14,snärta,3,imageability
15,snärta,7,imageability
16,snärta,3,imageability
17,snärta,7,imageability
18,snärta,4,imageability
19,snärta,6,imageability
20,snärta,7,imageability
21,snärta,5,imageability
22,snärta,6,imageability
23,snärta,3,imageability
24,snärta,7,imageability
25,snärta,5,imageability
1,halka,7,imageability
2,halka,7,imageability
3,halka,7,imageability
4,halka,6,imageability
5,halka,7,imageability
6,halka,6,imageability
7,halka,7,imageability
8,halka,3,imageability
9,halka,7,imageability
10,halka,7,imageability
11,halka,5,imageability
12,halka,6,imageability
13,halka,7,imageability
14,halka,7,imageability
15,halka,7,imageability
16,halka,6,imageability
17,halka,7,imageability
18,halka,6,imageability
19,halka,4,imageability
20,halka,7,imageability
21,halka,5,imageability
22,halka,7,imageability
23,halka,6,imageability
24,halka,7,imageability
25,halka,7,imageability
1,svassa,5,imageability
2,svassa,7,imageability
3,svassa,1,imageability
4,svassa,1,imageability
5,svassa,2,imageability
6,svassa,6,imageability
7,svassa,3,imageability
8,svassa,1,imageability
9,svassa,3,imageability
10,svassa,1,imageability
11,svassa,1,imageability
12,svassa,3,imageability
13,svassa,5,imageability
14,svassa,5,imageability
15,svassa,7,imageability
16,svassa,3,imageability
17,svassa,6,imageability
18,svassa,4,imageability
19,svassa,2,imageability
20,svassa,7,imageability
21,svassa,6,imageability
22,svassa,3,imageability
23,svassa,1,imageability
24,svassa,5,imageability
25,svassa,5,imageability
1,ta,6,imageability
2,ta,2,imageability
3,ta,5,imageability
4,ta,5,imageability
5,ta,7,imageability
6,ta,4,imageability
7,ta,7,imageability
8,ta,3,imageability
9,ta,7,imageability
10,ta,4,imageability
11,ta,4,imageability
12,ta,6,imageability
13,ta,7,imageability
14,ta,7,imageability
15,ta,2,imageability
16,ta,5,imageability
17,ta,5,imageability
18,ta,2,imageability
19,ta,3,imageability
20,ta,3,imageability
21,ta,1,imageability
22,ta,6,imageability
23,ta,7,imageability
24,ta,7,imageability
25,ta,5,imageability
1,trippa,7,imageability
2,trippa,2,imageability
3,trippa,7,imageability
4,trippa,6,imageability
5,trippa,1,imageability
6,trippa,4,imageability
7,trippa,7,imageability
8,trippa,1,imageability
9,trippa,7,imageability
10,trippa,7,imageability
11,trippa,3,imageability
12,trippa,5,imageability
13,trippa,7,imageability
14,trippa,6,imageability
15,trippa,7,imageability
16,trippa,6,imageability
17,trippa,7,imageability
18,trippa,5,imageability
19,trippa,5,imageability
20,trippa,4,imageability
21,trippa,6,imageability
22,trippa,7,imageability
23,trippa,6,imageability
24,trippa,7,imageability
25,trippa,7,imageability
1,skrida,4,imageability
2,skrida,6,imageability
3,skrida,1,imageability
4,skrida,3,imageability
5,skrida,5,imageability
6,skrida,6,imageability
7,skrida,7,imageability
8,skrida,1,imageability
9,skrida,7,imageability
10,skrida,5,imageability
11,skrida,2,imageability
12,skrida,3,imageability
13,skrida,7,imageability
14,skrida,5,imageability
15,skrida,4,imageability
16,skrida,2,imageability
17,skrida,5,imageability
18,skrida,7,imageability
19,skrida,4,imageability
20,skrida,4,imageability
21,skrida,5,imageability
22,skrida,4,imageability
23,skrida,2,imageability
24,skrida,7,imageability
25,skrida,7,imageability
1,kliva,7,imageability
2,kliva,7,imageability
3,kliva,7,imageability
4,kliva,5,imageability
5,kliva,5,imageability
6,kliva,5,imageability
7,kliva,7,imageability
8,kliva,1,imageability
9,kliva,7,imageability
10,kliva,7,imageability
11,kliva,4,imageability
12,kliva,5,imageability
13,kliva,7,imageability
14,kliva,7,imageability
15,kliva,6,imageability
16,kliva,4,imageability
17,kliva,7,imageability
18,kliva,3,imageability
19,kliva,6,imageability
20,kliva,7,imageability
21,kliva,3,imageability
22,kliva,6,imageability
23,kliva,4,imageability
24,kliva,7,imageability
25,kliva,7,imageability
1,skrika,6,imageability
2,skrika,2,imageability
3,skrika,7,imageability
4,skrika,6,imageability
5,skrika,7,imageability
6,skrika,5,imageability
7,skrika,7,imageability
8,skrika,7,imageability
9,skrika,7,imageability
10,skrika,7,imageability
11,skrika,4,imageability
12,skrika,7,imageability
13,skrika,7,imageability
14,skrika,7,imageability
15,skrika,6,imageability
16,skrika,7,imageability
17,skrika,7,imageability
18,skrika,4,imageability
19,skrika,5,imageability
20,skrika,6,imageability
21,skrika,5,imageability
22,skrika,7,imageability
23,skrika,7,imageability
24,skrika,7,imageability
25,skrika,7,imageability
1,träda,5,imageability
2,träda,1,imageability
3,träda,3,imageability
4,träda,6,imageability
5,träda,2,imageability
6,träda,2,imageability
7,träda,3,imageability
8,träda,3,imageability
9,träda,5,imageability
10,träda,1,imageability
11,träda,1,imageability
12,träda,3,imageability
13,träda,5,imageability
14,träda,1,imageability
15,träda,2,imageability
16,träda,2,imageability
17,träda,7,imageability
18,träda,2,imageability
19,träda,5,imageability
20,träda,3,imageability
21,träda,2,imageability
22,träda,4,imageability
23,träda,1,imageability
24,träda,4,imageability
25,träda,6,imageability
1,viska,5,imageability
2,viska,2,imageability
3,viska,7,imageability
4,viska,5,imageability
5,viska,7,imageability
6,viska,6,imageability
7,viska,7,imageability
8,viska,3,imageability
9,viska,7,imageability
10,viska,6,imageability
11,viska,3,imageability
12,viska,6,imageability
13,viska,7,imageability
14,viska,7,imageability
15,viska,7,imageability
16,viska,7,imageability
17,viska,7,imageability
18,viska,7,imageability
19,viska,4,imageability
20,viska,7,imageability
21,viska,5,imageability
22,viska,7,imageability
23,viska,6,imageability
24,viska,7,imageability
25,viska,7,imageability
1,svaja,7,imageability
2,svaja,3,imageability
3,svaja,5,imageability
4,svaja,6,imageability
5,svaja,5,imageability
6,svaja,6,imageability
7,svaja,7,imageability
8,svaja,1,imageability
9,svaja,7,imageability
10,svaja,5,imageability
11,svaja,2,imageability
12,svaja,6,imageability
13,svaja,6,imageability
14,svaja,3,imageability
