"expName","date","participant","trial","verb","translation","score","verb_category","cognate_bin","cognate","in_orig"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,24,"squeeze","klämma",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,25,"trot","strutta",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,26,"toss","slänga",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,27,"trek","vandra",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,28,"dance","dansa",1,"leg",1,"dansa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,29,"fold","vika",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,30,"push","knuffa",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,31,"wander","vandra",1,"leg",1,"vandra","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,32,"shake","skaka",1,"arm",1,"skaka","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,33,"sway","svaja",1,"leg",1,"svaja","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,34,"click","klicka",1,"arm",1,"klicka","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,35,"limp","halta",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,36,"throw","kasta",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,37,"nip","nypa, knipsa",1,"arm",1,"nypa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,38,"straddle","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,39,"sprint","sprinta",1,"leg",1,"sprinta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,40,"dunk","dunka",1,"arm",1,"dunka","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,41,"wipe","torka",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,42,"saunter","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,43,"traipse","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,44,"kick","sparka",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,45,"lift","lyfta",1,"arm",1,"lyfta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,46,"chop","hacka",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,47,"jog","jogga",1,"leg",1,"jogga","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,48,"stab","knivhugga",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,49,"hop","hoppa",1,"leg",1,"hoppa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,50,"creep","krypa",1,"leg",1,"krypa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,51,"claw","klösa",1,"arm",1,"klösa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,52,"tiptoe","tassa, gå på tå",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,53,"clutch","haka fast, koppla ihop",0,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,54,"braid","fläta",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,55,"brush","borsta",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,56,"pluck","plocka",1,"arm",1,"plocka","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,57,"pace","vagga av och an, gå fram och tillbaka",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,58,"carve","karva, tälja",1,"arm",1,"karva","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,59,"wrap","slå in",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,60,"gesture","gestikulera",1,"arm",1,"gestikulera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,61,"scoop","skyffla",1,"arm",1,"skopa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,62,"run","springa",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,63,"grasp","gripa tag i, greppa",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,64,"wobble","vingla",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,65,"hike","gå på tur, vandra",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,66,"strut","strutta",1,"leg",1,"strutta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,67,"punch","slå till",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,68,"pull","dra",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,69,"walk","gå",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,70,"pinch","nypa",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,71,"grate","riva",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,72,"stomp","stampa",1,"leg",1,"stampa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,73,"mount","gå uppför, kliva upp på",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,74,"stagger","stappla",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,75,"stroll","strosa",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,76,"plod","plöja, ploga",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,77,"skip","hoppa över, hoppa",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,78,"clap","klappa, applådera",1,"arm",1,"klappa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,79,"catch","fånga",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,80,"flee","fly",1,"leg",1,"fly","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,81,"stride","promenera, gå, strosa",0.5,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,82,"bash","slå",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,83,"wash","tvätta",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,84,"clean","städa, rengöra",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,85,"rub","gnugga",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,86,"scrape","skrapa, rispa",1,"arm",1,"skrapa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,87,"hack","hacka",1,"arm",1,"hacka","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,88,"trample","vet inte",0,"leg",1,"trampa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,89,"march","marschera",1,"leg",1,"marschera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,90,"pedal","cykla, få pedalerna att snurra",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,91,"crouch","krypa ihop",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,92,"stir","röra",1,"arm",-99,"störa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,93,"slide","glida",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,94,"glide","glida",1,"leg",1,"glida","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,95,"trudge","vet inte",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,96,"trip","snubbla, ramla",1,"leg",1,"trippa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,97,"squat","gå ner på huk, huka",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,98,"whip","piska, vispa",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,99,"inch","gå små små steg, smyga",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,100,"hobble","ingen aning",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,101,"seize","fånga",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,102,"file","ordna, arkivera",1,"arm",1,"fila","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,103,"slap","slå till",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,104,"shamble","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,105,"waddle","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,106,"totter","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,107,"prance","svassa, gå med lite hoppiga steg, kråma sig",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,108,"snatch","sno till sig",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,109,"lumber","lufsa",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,110,"stamp","stampa",1,"leg",1,"stampa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,111,"hug","kramas",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,112,"dash","slå",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,113,"grovel","vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,114,"dig","gräva",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,115,"peel","skala",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,116,"tramp","stå på, trampa på",1,"leg",1,"trampa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,117,"grab","gripa tag i, ta tag i",1,"arm",1,"grabba","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,118,"row","ro",1,"arm",1,"ro","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,119,"kneel","gå ner på knä, knäböja",1,"leg",1,"knäa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,120,"scrub","skrubba",1,"arm",1,"skrubba","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,121,"poke","peta",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,122,"stray","vandra iväg, strosa",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,123,"cut","klippa, skära",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,124,"polish","polera, torka av",1,"arm",1,"polera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,125,"bounce","studsa",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,126,"tug","vet inte",0,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,127,"cycle","cykla",1,"leg",1,"cykla","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_07_1244",800,128,"sign","skriva under, signera",1,"arm",1,"signera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,1,"step","gå",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,2,"pat","klappa",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,3,"whip","piska",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,4,"click","klicka",1,"arm",1,"klicka","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,5,"run","springa",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,6,"totter","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,7,"dance","dansa",1,"leg",1,"dansa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,8,"stand","stå",1,"leg",1,"stå","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,9,"leap","jag vet inte",0,"leg",-99,"löpa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,10,"kick","sparka",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,11,"plod","jag vet inte",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,12,"sign","signera",1,"arm",1,"signera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,13,"wash","tvätta",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,14,"shake","skaka",1,"arm",1,"skaka","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,15,"march","marschera",1,"leg",1,"marschera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,16,"tiptoe","smyga",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,17,"throw","kasta",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,18,"lift","lyfta",1,"arm",1,"lyfta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,19,"skate","skejta",1,"leg",1,"skejta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,20,"wade","vada",1,"leg",1,"vada","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,21,"trip","snubbla",1,"leg",1,"trippa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,22,"roam","ropa/skrika",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,23,"wobble","snubbla",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,24,"stab","hugga",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,25,"ramble","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,26,"wrap","avsluta",0,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,27,"hobble","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,28,"twine","jag vet inte",0,"arm",1,"tvinna","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,29,"rub","gnugga",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,30,"pull","dra",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,31,"pace","jag vet inte",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,32,"file","jag vet inte",0,"arm",1,"fila","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,33,"carve","karva",1,"arm",1,"karva","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,34,"bash","jag vet inte",0,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,35,"gesture","gestikulera",1,"arm",1,"gestikulera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,36,"hug","krama",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,37,"walk","gå",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,38,"cut","klippa",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,39,"stray","strosa",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,40,"stride","jag vet inte",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,41,"grasp","sträcka sig, grabba tag",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,42,"flee","fly",1,"leg",1,"fly","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,43,"trudge","jag vet inte",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,44,"tramp","jag vet inte",0,"leg",1,"trampa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,45,"peel","skala",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,46,"squeeze","pressa",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,47,"trample","trampa",1,"leg",1,"trampa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,48,"saunter","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,49,"stamp","stampa",1,"leg",1,"stampa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,50,"tug","jag vet inte",0,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,51,"hop","jag vet inte",0,"leg",1,"hoppa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,52,"traipse","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,53,"hike","vandra",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,54,"pedal","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,55,"poke","peka",0,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,56,"switch","stänga av, ändra",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,57,"toddle","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,58,"rush","skynda",1,"leg",-99,"rusa","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,59,"row","ro",1,"arm",1,"ro","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,60,"scratch","klia",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,61,"wander","vandra",1,"leg",1,"vandra","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,62,"stomp","stampa",1,"leg",1,"stampa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,63,"dig","gräva",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,64,"braid","jag vet inte",0,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,65,"shamble","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,66,"hack","hacka",1,"arm",1,"hacka","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,67,"scrub","klia",0,"arm",1,"skrubba","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,68,"knock","knacka",1,"arm",1,"knacka","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,69,"wipe","torka",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,70,"toss","jag vet inte",0,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,71,"push","putta",1,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,72,"scoop","jag vet inte",0,"arm",1,"skopa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,73,"grate","jag vet inte",0,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,74,"slither","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,75,"clap","klappa",1,"arm",1,"klappa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,76,"creep","krypa",1,"leg",1,"krypa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,77,"polish","putsa",1,"arm",1,"polera","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,78,"cycle","cykla",1,"leg",1,"cykla","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,79,"straddle","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,80,"slide","glida",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,81,"dash","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,82,"slip","snubbla, halka",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,83,"mount","jag vet inte",0,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,84,"stir","röra",1,"arm",-99,"störa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,85,"tread","jag vet inte",0,"leg",1,"träda","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,86,"clutch","jag vet inte",0,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,87,"grab","ta",1,"arm",1,"grabba","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,88,"crouch","krossa",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,89,"fold","vika",1,"arm",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,90,"pluck","vet inte",0,"arm",1,"plocka","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,91,"trek","vandra",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,92,"sway","sväva, flyga",0,"leg",1,"svaja","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,93,"jump","hoppa",1,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,94,"kneel","böja",0,"leg",1,"knäa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,95,"stroll","strosa",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,96,"squat","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,97,"skip","hoppa över",1,"leg",0,"","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,98,"nip","jag vet inte",0,"arm",1,"nypa","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,99,"strut","jag vet inte",0,"leg",1,"strutta","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,100,"snatch","jag vet inte",0,"arm",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,101,"grovel","ta, grabba tag, snatta",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,102,"prance","jag vet inte",0,"leg",0,"","no"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,103,"dunk","jag vet inte",0,"arm",1,"dunka","yes"
"verb-norming_L2-verb_translation_sept","2018_Sep_10_1112",801,104,"glide","glida",1,"leg",1,"glida","yes"
